name,avg_g3d_mark,bus_interface,max_memory_size,core_clock,max_direct,open_gl,max_tdp,test_directx_9,test_directx_10,test_directx_11,test_directx_12,test_gpu_compute
geforce gtx 570m,1864,pcie 2.0 x16,1536.0,575.0,11,4.5,75.0,44.0,7.0,15.0,6.0,789.0
quadro m520,1873,,2048.0,1041.0,12.0,4.5,25.0,29.0,9.0,12.0,8.0,794.0
geforce gtx 675m,1928,pcie 2.0 x16,2048.0,632.0,11,4.5,100.0,49.0,9.0,19.0,2.0,791.0
geforce gtx 470m,1953,pcie 2.0 x16,1536.0,550.0,11,4.5,50.0,44.0,6.0,16.0,8.0,837.0
geforce gtx 670mx,1958,pcie 3.0 x16,3072.0,615.0,11,4.5,75.0,36.0,7.0,16.0,7.0,932.0
radeon r9 m385x,1994,pcie 3.0 x16,,,12.0,4.3,75.0,47.0,9.0,19.0,7.0,1040.0
geforce gtx 765m,1998,pcie 3.0 x16,2048.0,863.0,11,4.5,65.0,38.0,7.0,18.0,7.0,1058.0
radeon r9 m385,2061,pcie 3.0 x16,4096.0,900.0,12.0,4.5,70.0,38.0,8.0,16.0,9.0,965.0
geforce gtx 580m,2074,pcie 2.0 x16,2048.0,620.0,11,4.5,100.0,53.0,10.0,19.0,5.0,684.0
geforce 945m,2109,,,,,,,40.0,11.0,15.0,9.0,858.0
quadro m600m,2151,pcie 3.0 x16,2048.0,,12.1,4.5,30.0,47.0,11.0,16.0,8.0,799.0
radeon pro wx 4130,2168,pcie 3.0 x8,4096.0,1002.0,12,4.6,50.0,38.0,12.0,14.0,12.0,742.0
geforce mx150,2269,pcie 3.0 x16,2048.0,1468.0,12,4.5,25.0,36.0,9.0,18.0,11.0,954.0
radeon hd 6970m,2270,pcie 2.1 x16,2048.0,680.0,11,4.4,75.0,,,,,
radeon r9 m470,2331,pcie 3.0 ã—16,4096.0,,12,4.5,75.0,48.0,8.0,17.0,11.0,874.0
geforce gtx 485m,2360,pcie 2.0 x16,2048.0,575.0,11,4.5,100.0,51.0,9.0,18.0,9.0,908.0
geforce mx250,2407,,,,,,,39.0,10.0,18.0,12.0,1001.0
radeon pro wx 3200,2415,pcie 3.0 x8,4096.0,1295.0,12,4.6,65.0,41.0,9.0,16.0,15.0,1007.0
geforce mx330,2426,,,,,,,38.0,10.0,19.0,12.0,993.0
geforce gtx 850m,2511,pcie 3.0 x16,2048.0,876.0,11.2,4.5,40.0,44.0,12.0,14.0,12.0,1165.0
geforce gtx 950m,2585,pcie 3.0 x16,2048.0,914.0,12.0,4.5,75.0,43.0,12.0,16.0,12.0,1133.0
radeon pro wx 4150,2615,pcie 3.0 x8,4096.0,1002.0,12,4.5,50.0,49.0,13.0,17.0,13.0,931.0
monster geforce gtx 675m,2637,,,,,,,,,,,
geforce gtx 675mx,2717,pcie 3.0 x16,4096.0,667.0,11,4.5,100.0,59.0,13.0,21.0,9.0,1158.0
radeon r9 m380,2774,pcie 3.0 x16,4096.0,,12.0,4.3,,56.0,10.0,22.0,11.0,1212.0
quadro m620,2792,,2048.0,977.0,12.0,4.5,30.0,50.0,14.0,19.0,11.0,1154.0
geforce gtx 770m,2799,pcie 3.0 x16,3072.0,797.0,11,4.5,75.0,51.0,12.0,24.0,10.0,1208.0
geforce mx350,2806,,,,,,,42.0,11.0,21.0,15.0,1244.0
quadro m1000m,2850,pcie 3.0 x16,4096.0,993.0,12.1,4.5,40.0,52.0,14.0,20.0,11.0,1139.0
geforce gtx 860m,3048,pcie 3.0 x16,2048.0,1085.0,11.2,4.5,45.0,56.0,15.0,22.0,13.0,1241.0
radeon 740m,3211,,,,,,,51.0,9.0,27.0,18.0,1741.0
quadro m1200,3236,,4096.0,1093.0,12.0,4.5,45.0,55.0,15.0,22.0,14.0,1370.0
geforce gtx 680m,3239,pcie 3.0 x16,4096.0,719.0,11,4.5,100.0,58.0,13.0,27.0,12.0,1371.0
radeon r9 m470x,3244,pci-e 3.0 x16,4096.0,,12,4.5,75.0,57.0,10.0,24.0,19.0,1275.0
geforce 770m,3246,,,,,,,,,,,
radeon r9 m290x,3256,pcie 3.0 x16,4096.0,850.0,11.2,4.3,100.0,68.0,16.0,22.0,16.0,1398.0
radeon hd8970m,3369,,,,,,,,,,,
geforce gtx 960m,3376,pcie 3.0 x16,4096.0,1097.0,12.0,4.5,65.0,59.0,16.0,24.0,15.0,1521.0
geforce gtx 870m,3450,pcie 3.0 x16,6144.0,967.0,11,4.5,110.0,67.0,14.0,30.0,12.0,1614.0
quadro m2000m,3462,pcie 3.0 x16,4096.0,,12.1,4.5,55.0,58.0,16.0,23.0,15.0,1474.0
radeon pro w5500m,3470,pcie 4.0 x8,4096.0,1000.0,12,4.6,85.0,152.0,20.0,24.0,16.0,1651.0
radeon hd 7970m,3569,pcie 3.0 x16,4096.0,850.0,11.1,4.4,75.0,63.0,16.0,21.0,18.0,1640.0
geforce gtx 680m ky_bullet edition,3569,,,,,,,,,,,
radeon r9 m390x,3597,pcie 3.0 x16,4096.0,723.0,12.0,4.3,100.0,76.0,25.0,21.0,17.0,1210.0
radeon 660m ryzen 5 7535hs,3614,,,,,,,55.0,14.0,34.0,15.0,1542.0
geforce gtx 775m,3635,,,,,,,72.0,17.0,30.0,12.0,1601.0
geforce mx450,3738,,,,,,,54.0,13.0,26.0,24.0,1880.0
geforce gtx 965m,3786,pcie 3.0 x16,4096.0,944.0,12.0,4.5,60.0,67.0,16.0,29.0,17.0,1594.0
geforce gtx 780m,3800,pcie 3.0 x16,4096.0,797.0,11,4.5,122.0,70.0,15.0,33.0,14.0,1743.0
geforce gtx 880m,3818,pcie 3.0 x16,8192.0,993.0,11,4.5,130.0,74.0,16.0,34.0,14.0,1568.0
radeon hd 8970m,3876,pcie 3.0 x16,4096.0,850.0,11.1,4.4,100.0,,,,,
radeon rx 7600m,3940,,,,,,,32.0,22.0,48.0,21.0,1680.0
radeont 660m ryzen 5 7535hs,4051,,,,,,,66.0,17.0,39.0,14.0,1721.0
geforce gtx 1050 with max-q design,4062,pcie 3.0 x16,4096.0,999.0,12,,,59.0,19.0,34.0,18.0,1589.0
geforce gtx 680mx,4138,pcie 3.0 x16,4096.0,719.0,11,4.5,122.0,73.0,17.0,35.0,14.0,1757.0
quadro m2200,4247,pcie 3.0 x16,4096.0,1025.0,12.0,4.5,55.0,74.0,18.0,30.0,19.0,1850.0
radeon rx 5300m,4307,pcie 4.0 x8,3072.0,1000.0,12,4.6,85.0,84.0,29.0,25.0,19.0,1736.0
geforce gtx 1050,4462,pcie 3.0 x16,4096.0,1354.0,12,,,75.0,20.0,35.0,19.0,2089.0
geforce mx550,4537,,,,,,,64.0,16.0,34.0,28.0,2213.0
t550,4811,,,,,,,67.0,17.0,36.0,30.0,2249.0
radeon pro wx vega m gl,4769,integrated,4096.0,931.0,12,4.6,65.0,72.0,25.0,33.0,26.0,1300.0
radeon r9 m395,4911,pcie 3.0 x16,2048.0,,12,4.3,125.0,84.0,28.0,34.0,20.0,1766.0
radeon r9 m295x,5150,pcie 3.0 x16,4096.0,750.0,11.2,4.3,125.0,,,,,
radeon r9 m395x,5195,pcie 3.0 x16,4096.0,,12.0,4.3,125.0,83.0,26.0,34.0,23.0,1744.0
geforce gtx 1050 ti with max-q design,5338,pcie 3.0 x16,4096.0,1151.0,12,,,94.0,27.0,39.0,21.0,2108.0
radeon pro w6300,5560,pcie 4.0 x4,2048.0,1512.0,12_2,4.6,25.0,75.0,29.0,45.0,23.0,2216.0
radeon rx 5500m,5565,pcie 4.0 x8,4096.0,1375.0,12,4.6,85.0,99.0,38.0,33.0,27.0,2250.0
quadro m3000m,5631,pcie 3.0 x16,4096.0,,12.1,4.5,75.0,102.0,26.0,43.0,23.0,2154.0
radeont 680m ryzen 7 7735hs,5651,,,,,,,73.0,23.0,47.0,25.0,2680.0
geforce gtx 970m,5711,pcie 3.0 x16,3072.0,924.0,12,4.5,75.0,99.0,27.0,42.0,24.0,2308.0
geforce mx570,5735,,,,,,,77.0,30.0,39.0,30.0,2589.0
radeon 760m,5766,,,,,,,71.0,21.0,57.0,27.0,3092.0
radeont 760m,5846,,,,,,,72.0,22.0,54.0,28.0,2812.0
geforce gtx 1050 ti,5919,pcie 3.0 x16,4096.0,1493.0,12,,,101.0,30.0,45.0,24.0,2189.0
radeon pro 5300m,5949,pcie 4.0 x8,4096.0,1000.0,12,4.6,85.0,79.0,35.0,38.0,25.0,2751.0
geforce mx570 a,6027,,,,,,,79.0,33.0,39.0,32.0,2689.0
geforce rtx 3050 a,6038,,,,,,,131.0,61.0,87.0,10.0,4232.0
quadro m4000m,6149,pcie 3.0 x16,4096.0,,12.1,4.5,100.0,107.0,31.0,49.0,25.0,2313.0
radeon 680m ryzen 7 7735hs,6167,,,,,,,82.0,23.0,62.0,25.0,2941.0
geforce gtx 1650 with max-q design,6178,pcie 3.0 x16,4096.0,1020.0,12,4.6,35.0,97.0,32.0,48.0,29.0,2290.0
radeon 660m ryzen 5 6600h,6286,,,,,,,58.0,16.0,162.0,80.0,2969.0
geforce gtx 1650 ti with max-q design,6419,pcie 3.0 x16,4096.0,1035.0,12,4.6,35.0,101.0,34.0,53.0,28.0,2347.0
radeon rx 6300m,6422,,,,,,,100.0,30.0,51.0,27.0,2292.0
quadro t1000,6468,,,,,,,109.0,33.0,47.0,28.0,2480.0
quadro p3000,6509,pcie 3.0 x16,6144.0,1088.0,12,,75.0,106.0,35.0,52.0,25.0,2709.0
radeon pro wx 7130,6715,pcie 3.0 x16,8192.0,1188.0,12,4.6,130.0,111.0,43.0,47.0,49.0,2345.0
quadro t1000 with max-q design,6722,,,,,,,111.0,33.0,52.0,29.0,2579.0
rtx a500,6758,,,,,,,85.0,35.0,42.0,38.0,2983.0
radeon pro 5500m,6777,pcie 4.0 x8,8192.0,1000.0,12.0,4.6,85.0,96.0,35.0,43.0,30.0,3328.0
geforce gtx 1650,6969,pcie 3.0 x16,4096.0,1395.0,12,4.6,50.0,116.0,36.0,50.0,27.0,2750.0
quadro m5000m,7004,pcie 3.0 x16,8192.0,962.0,12.1,4.5,100.0,117.0,35.0,54.0,29.0,2720.0
quadro t2000 with max-q design,6899,,,,,,,114.0,35.0,53.0,29.0,2621.0
radeon 780m,7071,,,,,,,84.0,28.0,67.0,31.0,3838.0
t600,7070,,,,,,,114.0,33.0,52.0,32.0,2688.0
radeont 780m,7103,,,,,,,85.0,28.0,68.0,31.0,3779.0
geforce rtx 3050 4gb,6792,pcie 4.0 x16,4096.0,1238.0,12_2,4.6,80.0,85.0,35.0,43.0,38.0,3124.0
quadro t2000,7206,,,,,,,124.0,35.0,50.0,32.0,2885.0
geforce gtx 980m,7364,pcie 3.0 x16,4096.0,1038.0,12,4.5,100.0,126.0,35.0,57.0,31.0,2807.0
geforce gtx 1650 ti,7535,pcie 3.0 x16,4096.0,1350.0,12,4.6,55.0,119.0,39.0,61.0,32.0,2743.0
geforce rtx 2050,7690,pcie 3.0 x8,4096.0,1185.0,12_2,4.6,45.0,105.0,39.0,48.0,42.0,3482.0
radeon rx 6500m,7782,pcie 4.0 x4,4096.0,2000.0,12_2,4.6,50.0,93.0,53.0,72.0,35.0,2859.0
radeon 880m,7791,,,,,,,102.0,33.0,75.0,31.0,3457.0
t1200,7799,,,,,,,123.0,35.0,58.0,36.0,3118.0
geforce gtx 1060 with max-q design,7906,pcie 3.0 x16,6144.0,1480.0,12.1,4.5,80.0,135.0,45.0,61.0,30.0,2883.0
quadro m5500,7915,pcie 3.0 x16,8192.0,861.0,12.0,4.5,150.0,,,,,
geforce gtx 1060,8161,pcie 3.0 x16,6144.0,1404.0,12,4.5,80.0,137.0,49.0,65.0,29.0,3362.0
quadro rtx 3000 with max-q design,8353,pcie 3.0 x16,6144.0,600.0,12,4.6,60.0,111.0,63.0,73.0,36.0,2740.0
radeon 890m,8376,,,,,,,102.0,36.0,76.0,36.0,4153.0
geforce gtx 1660 ti with max-q design,8604,pcie 3.0 x16,6144.0,1140.0,12,4.6,60.0,125.0,54.0,73.0,35.0,3066.0
radeon rx 5600m,8796,pcie 4.0 x16,6144.0,1035.0,12,4.6,150.0,133.0,57.0,65.0,41.0,3112.0
quadro p4000 with max-q design,9083,pcie 3.0 x16,16384.0,1113.0,12.1,,80.0,,,,,
radeon pro 5600m,9233,pcie 4.0 x16,8192.0,1000.0,12,4.6,50.0,117.0,63.0,59.0,39.0,4062.0
geforce rtx 3050,9454,pcie 4.0 x8,4096.0,712.0,12_2,4.6,75.0,118.0,55.0,73.0,45.0,3865.0
radeon pro w6600m,9522,,,,,,,141.0,55.0,86.0,31.0,3957.0
rtx a1000,9552,,,,,,,127.0,51.0,66.0,47.0,3871.0
radeon rx 6550m,9557,,,,,,,134.0,59.0,78.0,41.0,3325.0
geforce rtx 2060 with max-q design,9756,pcie 3.0 x16,6144.0,975.0,12,4.6,65.0,132.0,71.0,77.0,40.0,3487.0
rtx a2000,9914,pcie 4.0 x16,4096.0,,12_2,4.6,95.0,116.0,58.0,71.0,47.0,4453.0
geforce gtx 1070 with max-q design,9936,pcie 3.0 x16,8192.0,1379.0,12.1,4.5,90.0,154.0,65.0,84.0,37.0,3569.0
geforce rtx 3050 ti,10138,pcie 4.0 x8,4096.0,735.0,12,4.6,80.0,120.0,60.0,77.0,49.0,4329.0
rtx a1000 6gb,10158,,,,,,,129.0,54.0,66.0,52.0,4544.0
geforce gtx 1660 ti,10179,pcie 3.0 x16,6144.0,1455.0,12,4.6,80.0,155.0,61.0,86.0,39.0,3739.0
geforce rtx 3050 6gb,10318,pcie 4.0 x16,6144.0,1237.0,12_2,4.6,80.0,130.0,56.0,71.0,52.0,4658.0
geforce gtx 1070,10465,pcie 3.0 x16,8192.0,1443.0,12,,,153.0,74.0,92.0,34.0,4591.0
rtx a2000 8gb,10904,,,,,,,135.0,60.0,76.0,54.0,4590.0
rtx 500 ada generation,10969,,,,,,,138.0,62.0,86.0,51.0,4309.0
quadro rtx 3000,11126,pcie 3.0 x16,6144.0,945.0,12.0,4.6,80.0,168.0,77.0,87.0,43.0,3880.0
geforce rtx 2060,11355,pcie 3.0 x16,6144.0,960.0,12,4.6,80.0,164.0,87.0,96.0,39.0,3992.0
geforce gtx 1080 with max-q design,11494,pcie 3.0 x16,8192.0,1468.0,12.1,4.5,110.0,158.0,66.0,99.0,41.0,5782.0
geforce rtx 2070 with max-q design,11630,pcie 3.0 x16,8192.0,885.0,12,4.6,80.0,166.0,87.0,97.0,45.0,4000.0
intel arc a770m,11759,pcie 4.0 x16,16384.0,1650.0,12_2,4.6,150.0,185.0,52.0,65.0,72.0,4938.0
quadro p5200,12151,,,,,,,186.0,73.0,85.0,46.0,4712.0
radeon rx 6850m,12274,,,,,,,108.0,115.0,118.0,77.0,5938.0
quadro rtx 4000,12281,pcie 3.0 x16,8192.0,1110.0,12.0,4.6,110.0,176.0,95.0,103.0,46.0,4398.0
geforce rtx 2070,12354,pcie 3.0 x16,8192.0,1215.0,12,4.6,115.0,176.0,95.0,111.0,41.0,4487.0
radeon rx 6600s,12445,pcie 4.0 x8,4096.0,1700.0,12_2,4.6,80.0,150.0,82.0,108.0,61.0,4619.0
rtx a3000,12465,,6144.0,,12_2,4.6,130.0,135.0,84.0,104.0,56.0,5583.0
quadro rtx 4000 with max-q design,12476,pcie 3.0 x16,8192.0,780.0,12.1,4.6,80.0,181.0,96.0,104.0,47.0,4405.0
geforce rtx 2080 with max-q design,13027,pcie 3.0 x16,8192.0,735.0,12,4.6,90.0,171.0,102.0,112.0,49.0,4704.0
radeon rx 6800m,13258,,12288.0,2300.0,12,4.6,145.0,147.0,102.0,126.0,65.0,5021.0
geforce rtx 3060,13347,pcie 4.0 x16,6144.0,900.0,12,4.6,115.0,146.0,92.0,111.0,59.0,5836.0
radeon rx 7600m xt,13376,pcie 4.0 x16,8192.0,1437.0,12_2,4.6,120.0,159.0,76.0,131.0,61.0,6576.0
quadro rtx 5000 with max-q design,13417,pcie 3.0 x16,16384.0,600.0,12.0,4.6,80.0,187.0,100.0,110.0,52.0,4656.0
radeon rx 6700m,13549,pcie 4.0 x16,10240.0,1489.0,12_2,4.6,135.0,152.0,94.0,129.0,65.0,5305.0
geforce rtx 2070 super with max-q design,13759,pcie 3.0 x16,8192.0,930.0,12,4.6,80.0,193.0,104.0,111.0,50.0,5060.0
geforce rtx 2080 super with max-q design,13799,pcie 3.0 x16,8192.0,735.0,12,4.6,80.0,184.0,108.0,117.0,53.0,4874.0
radeon rx 7600s,14732,pcie 4.0 x16,8192.0,1500.0,12_2,4.6,75.0,211.0,73.0,138.0,58.0,6213.0
quadro rtx 5000,14832,pcie 3.0 x16,16384.0,1035.0,12.0,4.6,110.0,204.0,110.0,121.0,56.0,5329.0
radeon rx 6700s,14974,pcie 4.0 x8,8192.0,1700.0,12_2,4.6,80.0,190.0,88.0,132.0,57.0,6041.0
radeon 610m ryzen 9 7845hx,14990,,,,,,,174.0,85.0,122.0,67.0,6025.0
radeon rx 6650m,15071,,,,,,,222.0,83.0,145.0,55.0,5954.0
geforce rtx 2080,15107,pcie 3.0 x16,8192.0,1380.0,12,4.6,150.0,194.0,116.0,140.0,53.0,6508.0
rtx 2000 ada generation,15258,,,,,,,195.0,90.0,130.0,67.0,5588.0
rtx a4000,15395,pcie 4.0 x16,16384.0,735.0,12_2,4.6,140.0,160.0,112.0,133.0,66.0,6757.0
geforce rtx 3070,15439,pcie 4.0 x16,8192.0,1100.0,12,4.6,115.0,159.0,115.0,138.0,64.0,6954.0
radeon rx 6800s,15490,pcie 4.0 x8,8192.0,1800.0,12,4.6,100.0,189.0,91.0,134.0,64.0,6127.0
rtx 3000 ada generation,16082,,,,,,,192.0,102.0,152.0,74.0,6159.0
rtx a5000,16141,,16384.0,,12_2,4.6,165.0,164.0,121.0,135.0,74.0,7156.0
geforce rtx 3080,16484,pcie 4.0 x16,8192.0,1100.0,12,4.6,115.0,168.0,123.0,146.0,73.0,7437.0
radeon rx 6650m xt,17071,,,,,,,228.0,103.0,170.0,66.0,5684.0
rtx a5500,17350,,,,,,,189.0,112.0,139.0,83.0,7459.0
rtx a4500,17425,,,,,,,203.0,113.0,136.0,80.0,7008.0
radeon rx 6850m xt,17512,,,,,,,208.0,104.0,157.0,81.0,6810.0
geforce rtx 4060,17659,pcie 4.0 x16,8192.0,1470.0,12_2,4.6,115.0,218.0,110.0,159.0,73.0,6827.0
geforce rtx 3070 ti,17946,pcie 4.0 x16,8192.0,915.0,12_2,4.6,115.0,194.0,127.0,156.0,75.0,7661.0
rtx 3500 ada generation,19041,,,,,,,246.0,125.0,189.0,78.0,7127.0
geforce rtx 4070,19587,pcie 4.0 x16,8192.0,1230.0,12_2,4.6,115.0,222.0,118.0,179.0,85.0,8363.0
geforce rtx 3080 ti,19669,pcie 4.0 x16,16384.0,810.0,12_2,4.6,115.0,202.0,134.0,166.0,90.0,8673.0
radeon rx 7900m,22752,,,,,,,267.0,127.0,256.0,93.0,9297.0
rtx 4000 ada generation,22962,,,,,,,271.0,140.0,224.0,100.0,9232.0
rtx 5000 ada generation,24006,,,,,,,272.0,153.0,239.0,102.0,9553.0
geforce rtx 4080,25076,pcie 4.0 x16,12288.0,1860.0,12_2,4.6,150.0,286.0,161.0,248.0,96.0,11422.0
geforce rtx 4090,27754,pcie 4.0 x16,16384.0,1455.0,12_2,4.6,150.0,315.0,181.0,270.0,107.0,12650.0
